LIBRARY_NAME,BRANCH_CODE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,DOOR_COUNT,CIRCULATION,TOTAL_BLDG_SQFT,STATUS
Ross-Broadway,BDY,80946.0,33 E Bayaud Ave,,Denver,CO,80209,78909,183930,4500.0,
Ross-University Hills,UNH,143542.0,4310 E Amherst Ave,,Denver,CO,80222,191607,641750,21143.0,
Ross-Cherry Creek,CRK,84797.0,305 N Milwaukee St,,Denver,CO,80206,195128,333433,17808.0,
Eugene Field,FIE,85982.0,810 S University Blvd,,Denver,CO,80209,112537,303551,10500.0,
Woodbury,WDB,46116.0,3265 N Federal Blvd,,Denver,CO,80211,117615,288001,10023.0,
Valdez-Perry,VAL,179029.0,4690 N Vine St,,Denver,CO,80216,50075,46111,4883.0,
Park Hill,PKH,179230.0,4705 E Montview Blvd,,Denver,CO,80207,159785,387181,10260.0,
Green Valley Ranch,GVR,356186.0,4856 N Andes Ct,,Denver,CO,80249,214301,335962,25602.0,
Ford-Warren,FOR,41520.0,2825 N High St,,Denver,CO,80205,87517,160834,10573.0,
Sam Gary,SGB,372322.0,2961 Roslyn St,,Denver,CO,80238,260107,749021,28490.0,
Central,CEN,179022.0,10 W 14TH Ave,,Denver,CO,80204,953878,1226843,540315.0,
Montbello,MLO,12074.0,12955 Albrook Dr,,Denver,CO,80239,132874,133584,11443.0,
Athmar Park,ATH,92427.0,1055 S Tejon St,,Denver,CO,80223,87425,109438,6478.0,
Blair-Caldwell,BCL,54793.0,2401 Welton St,,Denver,CO,80205,126460,108572,34957.0,closed 12/19-23/2016 for recarpeting
Ross-Barnum,BAR,77271.0,3570 W 1ST Ave,,Denver,CO,80219,78792,124911,10500.0,
"Rodolfo ""Corky"" Gonzalez Branch",GON,381139.0,1498 Irving St,,Denver,CO,80204,180857,321423,26973.0,
Byers,BYR,69509.0,675 N Santa Fe Dr,,Denver,CO,80204,63628,44562,3999.0,
Hadley,HAD,101460.0,1890 S Grove St,,Denver,CO,80219,91507,162322,12962.0,
Westwood,WES,94263.0,1000 S Lowell Blvd,,Denver,CO,80219,52713,50050,1073.0,
Virginia Village,VVI,138200.0,1500 S Dahlia St,,Denver,CO,80222,134702,392856,11524.0,
Bear Valley,BVL,121573.0,5171 W Dartmouth Ave,,Denver,CO,80236,170543,391010,11410.0,
Pauline Robinson,ROB,14970.0,5575 E 33RD Ave,,Denver,CO,80207,70130,69662,5285.0,
Decker,DKR,105064.0,1501 S Logan St,,Denver,CO,80210,99948,184280,4932.0,
Hampden,HMP,179231.0,9755 E Girard Ave,,Denver,CO,80231,151501,423918,11560.0,
Smiley,SMI,27605.0,4501 W 46TH Ave,,Denver,CO,80212,118602,286271,4726.0,
Schlessman Family,SCH,162724.0,100 N Poplar St,,Denver,CO,80220,213601,689705,14884.0,
